Date,Open,High,Low,Close,Volume,Stock,LABEL
2010-06-29,19.0,25.0,17.54,23.89,18783276,TSLA,-1
2016-01-05,226.36,232.3,220.0,223.43,3086425,TSLA,1
2014-07-16,221.92,224.8,216.82,217.16,4047671,TSLA,-1
2017-03-16,262.4,265.75,259.06,262.05,7132153,TSLA,1
2012-07-24,30.66,31.04,29.62,29.84,1500426,TSLA,-1
2010-10-26,20.8,21.87,20.51,21.36,660841,TSLA,-1
2016-03-18,229.1,234.48,228.06,232.74,4711793,TSLA,1
2016-07-05,209.73,214.544,208.0,213.98,4434881,TSLA,-1
2011-10-21,27.4,28.3,27.01,28.03,1142550,TSLA,-1
2011-07-13,28.44,29.03,27.9,28.64,1065942,TSLA,1
2013-06-17,103.6,104.75,101.2,102.2,7066672,TSLA,1
2015-10-26,211.38,215.88,210.0,215.26,3391400,TSLA,1
2015-03-11,191.11,196.18,191.01,193.74,4974800,TSLA,-1
2014-08-07,250.12,256.69,249.12,252.39,7469091,TSLA,1
2016-06-06,218.0,220.9,215.45,220.68,1901580,TSLA,-1
2014-09-22,255.0,256.02,244.71,250.03,8220530,TSLA,1
2011-10-24,27.87,28.89,27.75,28.55,920776,TSLA,-1
2010-07-30,20.2,20.44,19.55,19.94,426830,TSLA,-1
2017-09-18,380.25,389.61,377.68,385.0,7179287,TSLA,1
2016-12-13,193.18,201.28,193.0,198.15,6647682,TSLA,-1
2017-03-27,260.6,270.57,259.75,270.22,6089705,TSLA,1
2016-02-10,150.5,154.97,141.74,143.67,8053123,TSLA,-1
2014-05-02,208.51,211.36,206.52,210.91,4089467,TSLA,1
2017-06-14,381.085,384.25,376.31,380.66,12783558,TSLA,1
2013-10-02,188.59,191.83,175.4,180.95,20747555,TSLA,-1
2012-08-08,29.9,30.0,28.59,29.09,1308895,TSLA,-1
2012-11-02,29.27,29.55,28.55,28.918000000000003,1030265,TSLA,-1
2011-06-01,30.0,30.1,28.38,28.52,1529896,TSLA,-1
2017-11-08,305.5,306.89,301.3,304.31,4725510,TSLA,1
